fixture,variant,target_bps,stop_bps,max_hold_ms,result,pnl_bps,exit_age_ms,source,tie,timeout_class,pass,notes
no_path_point_before_max_hold,ambiguous_tie_excluded,1000,-500,10000,TIMEOUT,100,60000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
no_path_point_before_max_hold,path_approx_fallback_only,1000,-500,10000,TIMEOUT,100,60000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
no_path_point_before_max_hold,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
missing_exact_levels,stop_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
missing_exact_levels,target_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
missing_exact_levels,ambiguous_tie_excluded,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
missing_exact_levels,path_approx_fallback_only,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
missing_exact_levels,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
exact_levels_vs_path_approximation,stop_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,2500,exact_levels,False,,True,synthetic_contract_fixture
exact_levels_vs_path_approximation,target_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,2500,exact_levels,False,,True,synthetic_contract_fixture
exact_levels_vs_path_approximation,ambiguous_tie_excluded,1000,-500,10000,TARGET,1000,2500,exact_levels,False,,True,synthetic_contract_fixture
exact_levels_vs_path_approximation,path_approx_fallback_only,1000,-500,10000,TARGET,1000,2000,path_approx,False,,True,synthetic_contract_fixture
exact_levels_vs_path_approximation,exact_levels_only,1000,-500,10000,TARGET,1000,2500,exact_levels,False,,True,synthetic_contract_fixture
max_hold_shorter_than_first_hit,stop_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,0,,exact_levels,False,positive_timeout,True,synthetic_contract_fixture
max_hold_shorter_than_first_hit,target_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,0,,exact_levels,False,positive_timeout,True,synthetic_contract_fixture
max_hold_shorter_than_first_hit,ambiguous_tie_excluded,1000,-500,10000,TIMEOUT,0,,exact_levels,False,positive_timeout,True,synthetic_contract_fixture
max_hold_shorter_than_first_hit,path_approx_fallback_only,1000,-500,10000,TIMEOUT,0,,path_approx,False,positive_timeout,True,synthetic_contract_fixture
max_hold_shorter_than_first_hit,exact_levels_only,1000,-500,10000,TIMEOUT,0,,exact_levels,False,positive_timeout,True,synthetic_contract_fixture
max_hold_longer_than_replay_horizon,stop_first_on_equal_timestamp,1000,-500,120000,TIMEOUT,100,30000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
max_hold_longer_than_replay_horizon,target_first_on_equal_timestamp,1000,-500,120000,TIMEOUT,100,30000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
max_hold_longer_than_replay_horizon,ambiguous_tie_excluded,1000,-500,120000,TIMEOUT,100,30000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
max_hold_longer_than_replay_horizon,path_approx_fallback_only,1000,-500,120000,TIMEOUT,100,30000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
max_hold_longer_than_replay_horizon,exact_levels_only,1000,-500,120000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
path_not_monotonic,stop_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
path_not_monotonic,target_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
path_not_monotonic,ambiguous_tie_excluded,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
path_not_monotonic,path_approx_fallback_only,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
path_not_monotonic,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
malformed_first_hit_ms,stop_first_on_equal_timestamp,1000,-500,10000,STOP,-500,1000,path_approx,False,,True,synthetic_contract_fixture
malformed_first_hit_ms,target_first_on_equal_timestamp,1000,-500,10000,STOP,-500,1000,path_approx,False,,True,synthetic_contract_fixture
malformed_first_hit_ms,ambiguous_tie_excluded,1000,-500,10000,STOP,-500,1000,path_approx,False,,True,synthetic_contract_fixture
malformed_first_hit_ms,path_approx_fallback_only,1000,-500,10000,STOP,-500,1000,path_approx,False,,True,synthetic_contract_fixture
malformed_first_hit_ms,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
negative_timeout_classification,stop_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,-100,9000,path_approx,False,negative_timeout,True,synthetic_contract_fixture
negative_timeout_classification,target_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,-100,9000,path_approx,False,negative_timeout,True,synthetic_contract_fixture
negative_timeout_classification,ambiguous_tie_excluded,1000,-500,10000,TIMEOUT,-100,9000,path_approx,False,negative_timeout,True,synthetic_contract_fixture
negative_timeout_classification,path_approx_fallback_only,1000,-500,10000,TIMEOUT,-100,9000,path_approx,False,negative_timeout,True,synthetic_contract_fixture
negative_timeout_classification,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
positive_timeout_classification,stop_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
positive_timeout_classification,target_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
positive_timeout_classification,ambiguous_tie_excluded,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
positive_timeout_classification,path_approx_fallback_only,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
positive_timeout_classification,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
